"#","Reference","Qty","Value","Footprint","DNP"
"1","C2, C3","2","100nF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"2","C4, C5","2","22pF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"3","D1","1","1N5822","Zenerdiode_1N5822:DIOAD3070W130L950D530",""
"4","F1","1","MF-R050","Fuse-MF-R050:MFR050",""
"5","J1","1","USB_C_Receptacle_USB2.0","Connector_USB:USB_C_Receptacle_GCT_USB4085",""
"6","J2, J3","2","Conn_01x05","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical",""
"7","R1","1","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"8","R2, R3","2","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"9","R4, R5","2","5.1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"10","U1","1","CH340G","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm",""
"11","Y1","1","XT9S20ANA12M","XT9S20ANA12M:XT9S20ANA12M",""
